timestamp,job_id,comm_id,rank,node_id,gpu_id,ras_state,latency_ms,unresponsive,timeout_count
t0000,train-job-001,comm-0,0,gpu-node-00,0,OK,10.26,0,0
t0000,train-job-001,comm-0,1,gpu-node-00,1,OK,13.85,0,0
t0000,train-job-001,comm-0,2,gpu-node-00,2,OK,11.06,0,0
t0000,train-job-001,comm-0,3,gpu-node-00,3,OK,12.21,0,0
t0000,train-job-001,comm-0,4,gpu-node-01,0,OK,16.05,0,0
t0000,train-job-001,comm-0,5,gpu-node-01,1,OK,13.13,0,0
t0000,train-job-001,comm-0,6,gpu-node-01,2,OK,12.35,0,0
t0000,train-job-001,comm-0,7,gpu-node-01,3,OK,12.88,0,0
t0000,train-job-001,comm-0,8,gpu-node-02,0,OK,10.1,0,0
t0000,train-job-001,comm-0,9,gpu-node-02,1,OK,14.29,0,0
t0000,train-job-001,comm-0,10,gpu-node-02,2,OK,12.4,0,0
t0000,train-job-001,comm-0,11,gpu-node-02,3,OK,11.76,0,0
t0000,train-job-001,comm-0,12,gpu-node-03,0,OK,10.4,0,0
t0000,train-job-001,comm-0,13,gpu-node-03,1,OK,14.46,0,0
t0000,train-job-001,comm-0,14,gpu-node-03,2,OK,15.21,0,0
t0000,train-job-001,comm-0,15,gpu-node-03,3,OK,10.7,0,0
t0000,train-job-001,comm-0,16,gpu-node-04,0,OK,12.14,0,0
t0000,train-job-001,comm-0,17,gpu-node-04,1,OK,11.18,0,0
t0000,train-job-001,comm-0,18,gpu-node-04,2,OK,10.91,0,0
t0000,train-job-001,comm-0,19,gpu-node-04,3,OK,11.25,0,0
t0000,train-job-001,comm-0,20,gpu-node-05,0,OK,13.38,0,0
t0000,train-job-001,comm-0,21,gpu-node-05,1,OK,11.77,0,0
t0000,train-job-001,comm-0,22,gpu-node-05,2,OK,12.83,0,0
t0000,train-job-001,comm-0,23,gpu-node-05,3,OK,11.45,0,0
t0000,train-job-001,comm-0,24,gpu-node-06,0,OK,14.13,0,0
t0000,train-job-001,comm-0,25,gpu-node-06,1,OK,12.14,0,0
t0000,train-job-001,comm-0,26,gpu-node-06,2,OK,10.54,0,0
t0000,train-job-001,comm-0,27,gpu-node-06,3,OK,11.91,0,0
t0000,train-job-001,comm-0,28,gpu-node-07,0,OK,13.68,0,0
t0000,train-job-001,comm-0,29,gpu-node-07,1,OK,11.19,0,0
t0000,train-job-001,comm-0,30,gpu-node-07,2,OK,15.18,0,0
t0000,train-job-001,comm-0,31,gpu-node-07,3,OK,12.18,0,0
t0000,train-job-001,comm-0,32,gpu-node-08,0,OK,11.25,0,0
t0000,train-job-001,comm-0,33,gpu-node-08,1,OK,11.34,0,0
t0000,train-job-001,comm-0,34,gpu-node-08,2,OK,9.65,0,0
t0000,train-job-001,comm-0,35,gpu-node-08,3,OK,15.21,0,0
t0000,train-job-001,comm-0,36,gpu-node-09,0,OK,14.43,0,0
t0000,train-job-001,comm-0,37,gpu-node-09,1,OK,16.36,0,0
t0000,train-job-001,comm-0,38,gpu-node-09,2,OK,11.42,0,0
t0000,train-job-001,comm-0,39,gpu-node-09,3,OK,11.61,0,0
t0000,train-job-001,comm-0,40,gpu-node-10,0,OK,8.78,0,0
t0000,train-job-001,comm-0,41,gpu-node-10,1,OK,11.6,0,0
t0000,train-job-001,comm-0,42,gpu-node-10,2,OK,11.06,0,0
t0000,train-job-001,comm-0,43,gpu-node-10,3,OK,11.37,0,0
t0000,train-job-001,comm-0,44,gpu-node-11,0,OK,12.61,0,0
t0000,train-job-001,comm-0,45,gpu-node-11,1,OK,11.26,0,0
t0000,train-job-001,comm-0,46,gpu-node-11,2,OK,12.56,0,0
t0000,train-job-001,comm-0,47,gpu-node-11,3,OK,12.23,0,0
t0001,train-job-001,comm-0,0,gpu-node-00,0,OK,12.63,0,0
t0001,train-job-001,comm-0,1,gpu-node-00,1,OK,12.66,0,0
t0001,train-job-001,comm-0,2,gpu-node-00,2,OK,10.92,0,0
t0001,train-job-001,comm-0,3,gpu-node-00,3,OK,10.29,0,0
t0001,train-job-001,comm-0,4,gpu-node-01,0,OK,11.81,0,0
t0001,train-job-001,comm-0,5,gpu-node-01,1,OK,9.71,0,0
t0001,train-job-001,comm-0,6,gpu-node-01,2,OK,7.22,0,0
t0001,train-job-001,comm-0,7,gpu-node-01,3,OK,9.24,0,0
t0001,train-job-001,comm-0,8,gpu-node-02,0,OK,11.49,0,0
t0001,train-job-001,comm-0,9,gpu-node-02,1,OK,11.92,0,0
t0001,train-job-001,comm-0,10,gpu-node-02,2,OK,11.67,0,0
t0001,train-job-001,comm-0,11,gpu-node-02,3,OK,14.04,0,0
t0001,train-job-001,comm-0,12,gpu-node-03,0,OK,12.29,0,0
t0001,train-job-001,comm-0,13,gpu-node-03,1,OK,12.42,0,0
t0001,train-job-001,comm-0,14,gpu-node-03,2,OK,10.51,0,0
t0001,train-job-001,comm-0,15,gpu-node-03,3,OK,15.18,0,0
t0001,train-job-001,comm-0,16,gpu-node-04,0,OK,10.76,0,0
t0001,train-job-001,comm-0,17,gpu-node-04,1,OK,9.77,0,0
t0001,train-job-001,comm-0,18,gpu-node-04,2,OK,9.96,0,0
t0001,train-job-001,comm-0,19,gpu-node-04,3,OK,8.96,0,0
t0001,train-job-001,comm-0,20,gpu-node-05,0,OK,12.28,0,0
t0001,train-job-001,comm-0,21,gpu-node-05,1,OK,10.48,0,0
t0001,train-job-001,comm-0,22,gpu-node-05,2,OK,13.96,0,0
t0001,train-job-001,comm-0,23,gpu-node-05,3,OK,12.56,0,0
t0001,train-job-001,comm-0,24,gpu-node-06,0,OK,12.05,0,0
t0001,train-job-001,comm-0,25,gpu-node-06,1,OK,12.88,0,0
t0001,train-job-001,comm-0,26,gpu-node-06,2,OK,12.89,0,0
t0001,train-job-001,comm-0,27,gpu-node-06,3,OK,14.95,0,0
t0001,train-job-001,comm-0,28,gpu-node-07,0,OK,12.95,0,0
t0001,train-job-001,comm-0,29,gpu-node-07,1,OK,14.89,0,0
