job_id,rank,node_id,gpu_id,fabric_group,switch_id,training_role,tenant_id,rank_importance
train-job-001,0,gpu-node-00,0,fabric-0,leaf-0-0,tp-rank,tenant-0,1.25
train-job-001,1,gpu-node-00,1,fabric-0,leaf-0-0,dp-rank,tenant-0,1.0
train-job-001,2,gpu-node-00,2,fabric-0,leaf-0-0,tp-rank,tenant-0,1.0
train-job-001,3,gpu-node-00,3,fabric-0,leaf-0-0,dp-rank,tenant-0,1.0
train-job-001,4,gpu-node-01,0,fabric-0,leaf-0-0,tp-rank,tenant-1,1.0
train-job-001,5,gpu-node-01,1,fabric-0,leaf-0-0,dp-rank,tenant-1,1.0
train-job-001,6,gpu-node-01,2,fabric-0,leaf-0-0,tp-rank,tenant-1,1.0
train-job-001,7,gpu-node-01,3,fabric-0,leaf-0-0,dp-rank,tenant-1,1.0
train-job-001,8,gpu-node-02,0,fabric-1,leaf-0-1,tp-rank,tenant-2,1.25
train-job-001,9,gpu-node-02,1,fabric-1,leaf-0-1,dp-rank,tenant-2,1.0
train-job-001,10,gpu-node-02,2,fabric-1,leaf-0-1,tp-rank,tenant-2,1.0
train-job-001,11,gpu-node-02,3,fabric-1,leaf-0-1,dp-rank,tenant-2,1.0
train-job-001,12,gpu-node-03,0,fabric-1,leaf-0-1,tp-rank,tenant-0,1.0
train-job-001,13,gpu-node-03,1,fabric-1,leaf-0-1,dp-rank,tenant-0,1.0
train-job-001,14,gpu-node-03,2,fabric-1,leaf-0-1,tp-rank,tenant-0,1.0
train-job-001,15,gpu-node-03,3,fabric-1,leaf-0-1,dp-rank,tenant-0,1.0
train-job-001,16,gpu-node-04,0,fabric-0,leaf-1-0,tp-rank,tenant-1,1.25
train-job-001,17,gpu-node-04,1,fabric-0,leaf-1-0,dp-rank,tenant-1,1.0
train-job-001,18,gpu-node-04,2,fabric-0,leaf-1-0,tp-rank,tenant-1,1.0
train-job-001,19,gpu-node-04,3,fabric-0,leaf-1-0,dp-rank,tenant-1,1.0
train-job-001,20,gpu-node-05,0,fabric-0,leaf-1-0,tp-rank,tenant-2,1.0
train-job-001,21,gpu-node-05,1,fabric-0,leaf-1-0,dp-rank,tenant-2,1.0
train-job-001,22,gpu-node-05,2,fabric-0,leaf-1-0,tp-rank,tenant-2,1.0
train-job-001,23,gpu-node-05,3,fabric-0,leaf-1-0,dp-rank,tenant-2,1.0
train-job-001,24,gpu-node-06,0,fabric-1,leaf-1-1,tp-rank,tenant-0,1.25
train-job-001,25,gpu-node-06,1,fabric-1,leaf-1-1,dp-rank,tenant-0,1.0
train-job-001,26,gpu-node-06,2,fabric-1,leaf-1-1,tp-rank,tenant-0,1.0
train-job-001,27,gpu-node-06,3,fabric-1,leaf-1-1,dp-rank,tenant-0,1.0
train-job-001,28,gpu-node-07,0,fabric-1,leaf-1-1,tp-rank,tenant-1,1.0
train-job-001,29,gpu-node-07,1,fabric-1,leaf-1-1,dp-rank,tenant-1,1.0
train-job-001,30,gpu-node-07,2,fabric-1,leaf-1-1,tp-rank,tenant-1,1.0
train-job-001,31,gpu-node-07,3,fabric-1,leaf-1-1,dp-rank,tenant-1,1.0
train-job-001,32,gpu-node-08,0,fabric-0,leaf-2-0,tp-rank,tenant-2,1.25
train-job-001,33,gpu-node-08,1,fabric-0,leaf-2-0,dp-rank,tenant-2,1.0
train-job-001,34,gpu-node-08,2,fabric-0,leaf-2-0,tp-rank,tenant-2,1.0
train-job-001,35,gpu-node-08,3,fabric-0,leaf-2-0,dp-rank,tenant-2,1.0
train-job-001,36,gpu-node-09,0,fabric-0,leaf-2-0,tp-rank,tenant-0,1.0
train-job-001,37,gpu-node-09,1,fabric-0,leaf-2-0,dp-rank,tenant-0,1.0
train-job-001,38,gpu-node-09,2,fabric-0,leaf-2-0,tp-rank,tenant-0,1.0
train-job-001,39,gpu-node-09,3,fabric-0,leaf-2-0,dp-rank,tenant-0,1.0
train-job-001,40,gpu-node-10,0,fabric-1,leaf-2-1,tp-rank,tenant-1,1.25
train-job-001,41,gpu-node-10,1,fabric-1,leaf-2-1,dp-rank,tenant-1,1.0
train-job-001,42,gpu-node-10,2,fabric-1,leaf-2-1,tp-rank,tenant-1,1.0
train-job-001,43,gpu-node-10,3,fabric-1,leaf-2-1,dp-rank,tenant-1,1.0
train-job-001,44,gpu-node-11,0,fabric-1,leaf-2-1,tp-rank,tenant-2,1.0
train-job-001,45,gpu-node-11,1,fabric-1,leaf-2-1,dp-rank,tenant-2,1.0
train-job-001,46,gpu-node-11,2,fabric-1,leaf-2-1,tp-rank,tenant-2,1.0
train-job-001,47,gpu-node-11,3,fabric-1,leaf-2-1,dp-rank,tenant-2,1.0
