timestamp,target,node_id,up,scrape_duration_s,scrape_samples_scraped,dcgm_gpu_metric_count,dcgm_metric_families_count
t0000,dcgm-gpu-node-00:9400,gpu-node-00,1,0.398,833,93,74
t0000,dcgm-gpu-node-01:9400,gpu-node-01,1,0.384,833,95,76
t0000,dcgm-gpu-node-02:9400,gpu-node-02,1,0.416,824,96,70
t0000,dcgm-gpu-node-03:9400,gpu-node-03,1,0.401,827,96,72
t0000,dcgm-gpu-node-04:9400,gpu-node-04,1,0.367,846,97,74
t0000,dcgm-gpu-node-05:9400,gpu-node-05,1,0.44,825,97,77
t0000,dcgm-gpu-node-06:9400,gpu-node-06,1,0.419,801,97,75
t0000,dcgm-gpu-node-07:9400,gpu-node-07,1,0.4,821,102,79
t0000,dcgm-gpu-node-08:9400,gpu-node-08,1,0.436,821,95,71
t0000,dcgm-gpu-node-09:9400,gpu-node-09,1,0.403,808,100,76
t0000,dcgm-gpu-node-10:9400,gpu-node-10,1,0.4,807,95,75
t0000,dcgm-gpu-node-11:9400,gpu-node-11,1,0.402,799,94,77
t0001,dcgm-gpu-node-00:9400,gpu-node-00,1,0.387,833,95,76
t0001,dcgm-gpu-node-01:9400,gpu-node-01,1,0.385,819,95,74
t0001,dcgm-gpu-node-02:9400,gpu-node-02,1,0.417,828,96,74
t0001,dcgm-gpu-node-03:9400,gpu-node-03,1,0.439,829,99,75
t0001,dcgm-gpu-node-04:9400,gpu-node-04,1,0.394,792,91,74
t0001,dcgm-gpu-node-05:9400,gpu-node-05,1,0.388,821,98,72
t0001,dcgm-gpu-node-06:9400,gpu-node-06,1,0.558,840,101,77
t0001,dcgm-gpu-node-07:9400,gpu-node-07,1,0.426,831,100,72
t0001,dcgm-gpu-node-08:9400,gpu-node-08,1,0.408,818,101,74
t0001,dcgm-gpu-node-09:9400,gpu-node-09,1,0.399,808,96,74
t0001,dcgm-gpu-node-10:9400,gpu-node-10,1,0.372,816,95,74
t0001,dcgm-gpu-node-11:9400,gpu-node-11,1,0.455,813,95,71
t0002,dcgm-gpu-node-00:9400,gpu-node-00,1,0.432,823,97,78
t0002,dcgm-gpu-node-01:9400,gpu-node-01,1,0.36,831,90,76
t0002,dcgm-gpu-node-02:9400,gpu-node-02,1,0.417,826,95,74
t0002,dcgm-gpu-node-03:9400,gpu-node-03,1,0.439,832,92,73
t0002,dcgm-gpu-node-04:9400,gpu-node-04,1,0.413,819,94,74
t0002,dcgm-gpu-node-05:9400,gpu-node-05,1,0.402,826,98,72
t0002,dcgm-gpu-node-06:9400,gpu-node-06,1,0.408,813,93,72
t0002,dcgm-gpu-node-07:9400,gpu-node-07,1,0.396,822,97,73
t0002,dcgm-gpu-node-08:9400,gpu-node-08,1,0.389,820,98,73
t0002,dcgm-gpu-node-09:9400,gpu-node-09,1,0.458,808,96,74
t0002,dcgm-gpu-node-10:9400,gpu-node-10,1,0.451,850,96,76
t0002,dcgm-gpu-node-11:9400,gpu-node-11,1,0.427,799,96,71
t0003,dcgm-gpu-node-00:9400,gpu-node-00,1,0.349,808,96,75
t0003,dcgm-gpu-node-01:9400,gpu-node-01,1,0.438,805,95,72
t0003,dcgm-gpu-node-02:9400,gpu-node-02,1,0.492,794,97,73
t0003,dcgm-gpu-node-03:9400,gpu-node-03,1,0.415,819,97,72
t0003,dcgm-gpu-node-04:9400,gpu-node-04,1,0.416,831,100,72
t0003,dcgm-gpu-node-05:9400,gpu-node-05,1,0.47,827,97,76
t0003,dcgm-gpu-node-06:9400,gpu-node-06,1,0.44,810,96,77
t0003,dcgm-gpu-node-07:9400,gpu-node-07,1,0.421,814,94,74
t0003,dcgm-gpu-node-08:9400,gpu-node-08,1,0.392,811,97,75
t0003,dcgm-gpu-node-09:9400,gpu-node-09,1,0.45,820,93,74
t0003,dcgm-gpu-node-10:9400,gpu-node-10,1,0.401,821,99,74
t0003,dcgm-gpu-node-11:9400,gpu-node-11,1,0.392,821,96,73
t0004,dcgm-gpu-node-00:9400,gpu-node-00,1,0.376,799,94,76
t0004,dcgm-gpu-node-01:9400,gpu-node-01,1,0.359,829,96,72
t0004,dcgm-gpu-node-02:9400,gpu-node-02,1,0.436,811,96,74
t0004,dcgm-gpu-node-03:9400,gpu-node-03,1,0.451,812,100,74
t0004,dcgm-gpu-node-04:9400,gpu-node-04,1,0.435,809,96,71
t0004,dcgm-gpu-node-05:9400,gpu-node-05,1,0.435,804,97,75
t0004,dcgm-gpu-node-06:9400,gpu-node-06,1,0.391,851,98,73
t0004,dcgm-gpu-node-07:9400,gpu-node-07,1,0.363,824,94,71
t0004,dcgm-gpu-node-08:9400,gpu-node-08,1,0.405,824,94,74
t0004,dcgm-gpu-node-09:9400,gpu-node-09,1,0.399,820,101,76
t0004,dcgm-gpu-node-10:9400,gpu-node-10,1,0.363,815,95,71
t0004,dcgm-gpu-node-11:9400,gpu-node-11,1,0.434,839,96,74
t0005,dcgm-gpu-node-00:9400,gpu-node-00,1,0.398,819,94,76
t0005,dcgm-gpu-node-01:9400,gpu-node-01,1,0.432,829,100,76
t0005,dcgm-gpu-node-02:9400,gpu-node-02,1,0.513,820,96,77
t0005,dcgm-gpu-node-03:9400,gpu-node-03,1,0.444,823,93,74
t0005,dcgm-gpu-node-04:9400,gpu-node-04,1,0.475,823,93,74
t0005,dcgm-gpu-node-05:9400,gpu-node-05,1,0.423,836,98,72
t0005,dcgm-gpu-node-06:9400,gpu-node-06,1,0.471,831,106,76
t0005,dcgm-gpu-node-07:9400,gpu-node-07,1,0.424,825,94,73
t0005,dcgm-gpu-node-08:9400,gpu-node-08,1,0.41,818,94,74
t0005,dcgm-gpu-node-09:9400,gpu-node-09,1,0.387,833,102,74
t0005,dcgm-gpu-node-10:9400,gpu-node-10,1,0.516,815,91,74
t0005,dcgm-gpu-node-11:9400,gpu-node-11,1,0.477,820,97,76
t0006,dcgm-gpu-node-00:9400,gpu-node-00,1,0.407,813,100,73
t0006,dcgm-gpu-node-01:9400,gpu-node-01,1,0.415,817,94,76
t0006,dcgm-gpu-node-02:9400,gpu-node-02,1,0.381,822,98,72
t0006,dcgm-gpu-node-03:9400,gpu-node-03,1,0.388,817,96,75
t0006,dcgm-gpu-node-04:9400,gpu-node-04,1,0.402,829,93,74
t0006,dcgm-gpu-node-05:9400,gpu-node-05,1,0.362,817,95,77
t0006,dcgm-gpu-node-06:9400,gpu-node-06,1,0.415,815,95,74
t0006,dcgm-gpu-node-07:9400,gpu-node-07,1,0.489,807,94,77
t0006,dcgm-gpu-node-08:9400,gpu-node-08,1,0.485,812,94,72
t0006,dcgm-gpu-node-09:9400,gpu-node-09,1,0.425,832,97,72
