node_id,gpu_id,rack_id,fabric_group,switch_id,pci_bus,power_domain,cooling_loop
gpu-node-00,0,rack-1,fabric-0,leaf-0-0,0000:14:0.0,pdu-1,loop-1
gpu-node-00,1,rack-1,fabric-0,leaf-0-0,0000:14:1.0,pdu-1,loop-1
gpu-node-00,2,rack-1,fabric-0,leaf-0-0,0000:14:2.0,pdu-1,loop-1
gpu-node-00,3,rack-1,fabric-0,leaf-0-0,0000:14:3.0,pdu-1,loop-1
gpu-node-01,0,rack-1,fabric-0,leaf-0-0,0000:15:0.0,pdu-1,loop-1
gpu-node-01,1,rack-1,fabric-0,leaf-0-0,0000:15:1.0,pdu-1,loop-1
gpu-node-01,2,rack-1,fabric-0,leaf-0-0,0000:15:2.0,pdu-1,loop-1
gpu-node-01,3,rack-1,fabric-0,leaf-0-0,0000:15:3.0,pdu-1,loop-1
gpu-node-02,0,rack-1,fabric-1,leaf-0-1,0000:16:0.0,pdu-1,loop-2
gpu-node-02,1,rack-1,fabric-1,leaf-0-1,0000:16:1.0,pdu-1,loop-2
gpu-node-02,2,rack-1,fabric-1,leaf-0-1,0000:16:2.0,pdu-1,loop-2
gpu-node-02,3,rack-1,fabric-1,leaf-0-1,0000:16:3.0,pdu-1,loop-2
gpu-node-03,0,rack-1,fabric-1,leaf-0-1,0000:17:0.0,pdu-1,loop-2
gpu-node-03,1,rack-1,fabric-1,leaf-0-1,0000:17:1.0,pdu-1,loop-2
gpu-node-03,2,rack-1,fabric-1,leaf-0-1,0000:17:2.0,pdu-1,loop-2
gpu-node-03,3,rack-1,fabric-1,leaf-0-1,0000:17:3.0,pdu-1,loop-2
gpu-node-04,0,rack-2,fabric-0,leaf-1-0,0000:18:0.0,pdu-2,loop-1
gpu-node-04,1,rack-2,fabric-0,leaf-1-0,0000:18:1.0,pdu-2,loop-1
gpu-node-04,2,rack-2,fabric-0,leaf-1-0,0000:18:2.0,pdu-2,loop-1
gpu-node-04,3,rack-2,fabric-0,leaf-1-0,0000:18:3.0,pdu-2,loop-1
gpu-node-05,0,rack-2,fabric-0,leaf-1-0,0000:19:0.0,pdu-2,loop-1
gpu-node-05,1,rack-2,fabric-0,leaf-1-0,0000:19:1.0,pdu-2,loop-1
gpu-node-05,2,rack-2,fabric-0,leaf-1-0,0000:19:2.0,pdu-2,loop-1
gpu-node-05,3,rack-2,fabric-0,leaf-1-0,0000:19:3.0,pdu-2,loop-1
gpu-node-06,0,rack-2,fabric-1,leaf-1-1,0000:1a:0.0,pdu-2,loop-2
gpu-node-06,1,rack-2,fabric-1,leaf-1-1,0000:1a:1.0,pdu-2,loop-2
gpu-node-06,2,rack-2,fabric-1,leaf-1-1,0000:1a:2.0,pdu-2,loop-2
gpu-node-06,3,rack-2,fabric-1,leaf-1-1,0000:1a:3.0,pdu-2,loop-2
gpu-node-07,0,rack-2,fabric-1,leaf-1-1,0000:1b:0.0,pdu-2,loop-2
gpu-node-07,1,rack-2,fabric-1,leaf-1-1,0000:1b:1.0,pdu-2,loop-2
gpu-node-07,2,rack-2,fabric-1,leaf-1-1,0000:1b:2.0,pdu-2,loop-2
gpu-node-07,3,rack-2,fabric-1,leaf-1-1,0000:1b:3.0,pdu-2,loop-2
gpu-node-08,0,rack-3,fabric-0,leaf-2-0,0000:1c:0.0,pdu-3,loop-1
gpu-node-08,1,rack-3,fabric-0,leaf-2-0,0000:1c:1.0,pdu-3,loop-1
gpu-node-08,2,rack-3,fabric-0,leaf-2-0,0000:1c:2.0,pdu-3,loop-1
gpu-node-08,3,rack-3,fabric-0,leaf-2-0,0000:1c:3.0,pdu-3,loop-1
gpu-node-09,0,rack-3,fabric-0,leaf-2-0,0000:1d:0.0,pdu-3,loop-1
gpu-node-09,1,rack-3,fabric-0,leaf-2-0,0000:1d:1.0,pdu-3,loop-1
gpu-node-09,2,rack-3,fabric-0,leaf-2-0,0000:1d:2.0,pdu-3,loop-1
gpu-node-09,3,rack-3,fabric-0,leaf-2-0,0000:1d:3.0,pdu-3,loop-1
gpu-node-10,0,rack-3,fabric-1,leaf-2-1,0000:1e:0.0,pdu-3,loop-2
gpu-node-10,1,rack-3,fabric-1,leaf-2-1,0000:1e:1.0,pdu-3,loop-2
gpu-node-10,2,rack-3,fabric-1,leaf-2-1,0000:1e:2.0,pdu-3,loop-2
gpu-node-10,3,rack-3,fabric-1,leaf-2-1,0000:1e:3.0,pdu-3,loop-2
gpu-node-11,0,rack-3,fabric-1,leaf-2-1,0000:1f:0.0,pdu-3,loop-2
gpu-node-11,1,rack-3,fabric-1,leaf-2-1,0000:1f:1.0,pdu-3,loop-2
gpu-node-11,2,rack-3,fabric-1,leaf-2-1,0000:1f:2.0,pdu-3,loop-2
gpu-node-11,3,rack-3,fabric-1,leaf-2-1,0000:1f:3.0,pdu-3,loop-2
